inventory_id,nsn,mpn,cage_code,part_name,category_section,quantity,uom,storage_location,unit_price,total_value,condition,photo_url
INV-HMMWV-00127,4730-01-412-5216,12342951-1,12436,"ADAPTER, STRAIGHT, PI",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00128,5305-01-206-7219,G9426241,12436,"SCREW,TAPPING 1/4-20 X 3/4",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00129,4710-01-187-6759,5584024,12436,"TUBE, BENT,METALLIC",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00130,4730-00-024-3971,62606,12436,"CLAMP, HOSE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00131,4710-01-186-0665,5584023,12436,"TUBE, BENT,METALLIC",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00132,5310-01-102-3270,2436161,12436,"WASHER, FLAT 1/4",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00133,5310-00-061-4650,MS51943-31,96906,"NUT, SELF-LOCKING,HE 1/4-20",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00134,4730-01-412-5213,12342951-2,12436,"ADAPTER, STRAIGHT, PI",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00135,4820-01-173-6883,2269B-2MM-3,12436,"VALVE, CHECK",Valves,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00136,2910-01-412-0047,12460102,12436,"SHIELD,FUEL TANK",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00137,2910-01-189-4770,12338579,12436,"TANK, FUEL,ENGINE",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00138,2910-01-357-8798,12342745,12436,"TANK, FUEL,ENGINE",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00139,4820-01-210-3488,346-786,12436,".VALVE, VENT. 00.0000 cece eee eee eee",Valves,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00140,5325-01-210-2870,E1F79B076-B,12436,".GROMMET, NONMETALLIC",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00141,4710-01-359-2956,12338548-2,12436,".TUBE ASSEMBLY,METAL",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00142,4730-00-044-4577,1-4SHP-S,12436,".PLUG,PIPE 1/4-18",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00143,4710-01-188-6050,5574872,12436,".TUBE ASSEMBLY,METAL",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00144,4710-01-186-9617,12338549,12436,".TUBE ASSEMBLY,METAL",Tubing / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00145,2910-01-184-2159,12338567,12436,".PLATE ASSEMBLY, FUEL",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00146,5330-01-194-0473,12338585,12436,GASKET hil goo dP tae Sa a BRE,Seals / Gaskets,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00147,4730-01-189-8854,25055210,12436,". STRAINER BODY, SEDIM",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00148,4730-01-091-2809,279NTA-8-6,12436,".ELBOW,PIPE TO TUBE",Fittings / Hoses,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00149,5340-01-244-5765,5597286,12436,".PLUG, PROTECTIVE, DUS",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00150,2910-01-186-6038,5584341,12436,"RETAINER, FUEL TANK",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00151,5305-00-068-0508,B1821BHO25CO75N,12436,".SCREW,CAP,HEXAGON H 1/4-20 X .075",Hardware,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00152,2910-01-411-2124,12460104,12436,"TANK, FUEL,ENGINE",Engine / Fuel,0,EA,,0.0,0.0,NOS,
INV-HMMWV-00153,5340-01-357-3996,12342746,12436,".-PLATE,MOUNTING",Hardware,0,EA,,0.0,0.0,NOS,
